,Avg. Braking Force(N),Avg. Braking Power(W),Avg. Landing Force(N),Avg. Propulsive Force(N),Avg. Propulsive Power(W),Avg. Relative Braking Force(%),Avg. Relative Braking Power(W/k.g),Avg. Relative Propulsive Force(%),Avg. Relative Propulsive Power(W/k.g),Braking Impulse(N.s),Braking Net Impulse(N.s),Braking Phase %,Braking Phase(s),Drop Height(m),Flight Time(s),Jump Height(m),Landing Stiffness(N/m),L|R Avg. Braking Force(%),L|R Avg. Braking RFD(%),L|R Avg. Landing Force(%),L|R Avg. Propulsive Force(%),L|R Braking Impulse Index(%),L|R Landing Impulse Index(%),L|R Peak Braking Force(%),L|R Peak Landing Force(%),L|R Peak Propulsive Force(%),L|R Propulsive Impulse Index(%),Net Impulse Ratio,Peak Braking Force(N),Peak Braking Power(W),Peak Landing Force(N),Peak Propulsive Force(N),Peak Propulsive Power(W),Peak Relative Braking Force(%),Peak Relative Braking Power(W/kg),Peak Relative Propulsive Force(%),Peak Relative Propulsive Power(W/k.g),Peak Velocity(m/s),Positive Impulse(N.s),Positive Net Impulse(N.s),Propulsive Impulse(N.s),Propulsive Net Impulse(N.s),Propulsive Phase %,Propulsive Phase(s),RSI,Relative Braking Impulse(N.s/kg),Relative Braking Net Impulse(N.s/kg),Relative Peak Landing Force(%),Relative Propulsive Impulse(N.s/kg),Relative Propulsive Net Impulse(N.s/kg),System Weight(N),Takeoff Velocity(m/s),Time To Takeoff(s),Time to Stabilization(ms),athlete id,athlete name,id,mRSI,segment,tags,timestamp,injured
0,1837,-3167,929,1180,878,258,-44,166,12,409,251,56,0.22,0.61,0.4,0.06,-657,-8.88,-1.24,14.04,-3.62,-16.34,N/A,-9.99,11.45,-1.58,-6.98,0.32,3753,-11427,2480,1587,1487,528,-158,223,21,1.3,612,332,203,81,44,0.17,1.02,6,3,349,3,1,711,1.12,0.4,N/A,EmnEUb2e9irIjGRMdVKn,Alexis Kirson,GCj46LBcMJQnMKYaDeEV,0.16,1,[],1558454527,0
1,1950,-3503,814,1325,1155,274,-48,186,16,395,251,56,0.2,0.61,0.47,0.1,-360,-14.29,-3.28,1.11,-6.88,-25.04,N/A,-15.19,-1.21,-5.52,-12.86,0.39,2818,-8587,3559,1937,1873,397,-119,273,26,1.53,607,350,212,99,44,0.16,1.29,5,3,501,3,1,711,1.37,0.36,N/A,EmnEUb2e9irIjGRMdVKn,Alexis Kirson,dT5IDglQGQcDfGSj05FE,0.26,2,[],1558454593,0
2,1622,-2984,1145,1245,1120,224,-40,172,15,461,256,59,0.29,0.61,0.47,0.1,-552,-3.18,-16.36,-40.05,-14.33,-6.14,-57.2,-7.54,-35.0,-13.62,-25.06,0.41,2732,-8804,3800,1674,1946,377,-119,231,26,1.61,710,360,248,104,41,0.2,0.97,6,3,525,3,1,724,1.41,0.49,440,0Wd7zQnaEe27svzN67db,Aarslan Rafique,jEImzdnA9hBPUyeyLFkf,0.21,24,"['24"" Box']",1558550719,0
3,1673,-2987,874,1385,1221,231,-40,191,17,449,255,62,0.27,0.61,0.47,0.11,-380,-4.99,-2.06,15.69,-1.87,-9.53,N/A,-15.11,-6.68,-0.76,-3.69,0.42,3150,-9747,4074,1836,2000,435,-132,254,27,1.58,673,362,223,107,38,0.16,1.08,6,3,563,3,1,724,1.44,0.43,N/A,0Wd7zQnaEe27svzN67db,Aarslan Rafique,wABYlLabBedoftyLeKUP,0.25,24,"['24"" Box']",1558550730,0
4,1677,-2990,1029,1402,1234,235,-41,197,17,433,249,63,0.26,0.6,0.51,0.1,-680,-6.35,-7.63,-1.43,-6.98,-11.96,N/A,-23.6,-10.0,-4.85,-13.04,0.42,3220,-9920,4209,1940,2067,451,-136,272,28,1.57,644,353,211,104,37,0.15,1.23,6,3,590,3,1,713,1.42,0.41,N/A,0Wd7zQnaEe27svzN67db,Aarslan Rafique,RTLNLlLneb3mqLGn04wk,0.25,24,"['24"" Box']",1560364208,0
5,1575,-2841,947,1368,1460,221,-39,192,20,456,250,59,0.29,0.6,0.56,0.17,-537,-1.4,-7.27,21.52,-3.46,-2.75,N/A,-16.29,-6.54,-4.79,-6.68,0.53,3744,-12028,4156,1733,2452,525,-165,243,34,1.95,734,383,278,133,41,0.2,1.13,6,3,583,4,2,713,1.83,0.49,N/A,0Wd7zQnaEe27svzN67db,Aarslan Rafique,Kj7koeEyXAiZJcGB5RF0,0.35,24,"['24"" Box']",1560364220,0
6,1637,-2903,1143,1307,1305,230,-40,183,18,441,249,57,0.27,0.6,0.54,0.13,-777,-0.93,-12.61,-34.97,-9.67,-1.83,N/A,-4.22,-19.49,-10.09,-17.61,0.48,3032,-9574,3592,1744,2243,425,-132,245,31,1.8,702,368,261,119,43,0.2,1.14,6,3,504,4,2,713,1.63,0.47,N/A,0Wd7zQnaEe27svzN67db,Aarslan Rafique,8QU0Z4oCBL9mDd4ofnMc,0.29,24,"['24"" Box']",1560364229,0
7,2052,-3563,919,1088,328,244,-42,129,4,504,297,71,0.25,0.61,0.31,0.0,-338,-8.12,-13.46,-9.47,-19.45,-15.02,N/A,-13.04,12.41,-11.19,-32.65,0.08,4219,-12789,2391,1875,565,501,-149,223,7,0.48,612,322,108,24,29,0.1,0.89,6,3,284,1,0,842,0.28,0.35,N/A,67BR2EmitvHdgXh5KbZD,Layla Ybarra-Harvey,HSmQETHINKmlFY0eurM7,0.01,24,"['24"" Box', 'Injury']",1564504283,1
8,2055,-3627,978,1321,765,244,-42,157,9,502,297,64,0.25,0.61,0.38,0.03,-419,-9.39,-21.77,1.7,-25.88,-17.14,N/A,-27.71,-14.88,-19.68,-41.16,0.22,3462,-10756,3106,2041,1335,411,-125,242,16,0.99,684,363,181,66,36,0.14,1.0,6,3,369,2,1,842,0.76,0.38,N/A,67BR2EmitvHdgXh5KbZD,Layla Ybarra-Harvey,FeFl0byQW9HEG5ds7zrM,0.08,24,"['24"" Box', 'Injury']",1564504293,1
9,2012,-3501,990,1288,687,239,-41,153,8,510,297,66,0.25,0.61,0.36,0.02,-445,-7.75,-16.15,-7.12,-22.08,-14.36,-13.29,-29.84,-6.93,-14.87,-36.22,0.2,3535,-10896,3079,1989,1233,420,-127,236,14,0.91,680,356,170,59,34,0.13,0.94,6,3,366,2,1,842,0.68,0.39,1030,67BR2EmitvHdgXh5KbZD,Layla Ybarra-Harvey,B2uDcbazMEYtxbSeNrry,0.06,24,"['24"" Box', 'Injury']",1564504304,1
